epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2669.34,0.16709,0.1904,0.9054,0.99188,0.99927,0.995,0.99433,0.11035,0.14501,0.81911,0.0091684,0.0091684,0.0091684
44,2731.3,0.16821,0.19286,0.90497,0.98216,1,0.995,0.99358,0.12389,0.16235,0.83086,0.0091486,0.0091486,0.0091486
45,2793.24,0.1643,0.19138,0.90358,0.99128,1,0.995,0.99361,0.1064,0.13811,0.81651,0.0091288,0.0091288,0.0091288
46,2855.16,0.16376,0.19046,0.90511,0.99253,1,0.995,0.99396,0.10953,0.15772,0.81675,0.009109,0.009109,0.009109
47,2917.07,0.16047,0.18689,0.90138,0.99334,1,0.995,0.995,0.09533,0.13398,0.79969,0.0090892,0.0090892,0.0090892
48,2979.12,0.16292,0.18759,0.90452,0.98492,0.99917,0.995,0.9933,0.11025,0.13724,0.81155,0.0090694,0.0090694,0.0090694
49,3040.99,0.16158,0.18433,0.90446,0.98868,1,0.995,0.995,0.10607,0.13687,0.80673,0.0090496,0.0090496,0.0090496
50,3103.03,0.15884,0.18328,0.90182,0.99288,1,0.995,0.99482,0.09363,0.12997,0.80129,0.0090298,0.0090298,0.0090298
51,3164.96,0.15527,0.18151,0.90014,0.99224,1,0.995,0.995,0.09353,0.118,0.80412,0.00901,0.00901,0.00901
52,3226.89,0.15459,0.1806,0.9011,0.99408,1,0.995,0.99441,0.09382,0.12566,0.80434,0.0089902,0.0089902,0.0089902
53,3288.83,0.15562,0.17944,0.90366,0.98187,0.99934,0.995,0.995,0.09604,0.14101,0.80399,0.0089704,0.0089704,0.0089704
54,3350.78,0.15532,0.17852,0.90086,0.9938,1,0.995,0.99492,0.0919,0.11881,0.80239,0.0089506,0.0089506,0.0089506
55,3412.71,0.15513,0.17999,0.90103,0.9942,1,0.995,0.99495,0.08949,0.11446,0.79835,0.0089308,0.0089308,0.0089308
56,3474.59,0.15222,0.1758,0.89955,0.99557,1,0.995,0.99434,0.09403,0.113,0.80481,0.008911,0.008911,0.008911
57,3536.46,0.14905,0.17475,0.89887,0.99405,1,0.995,0.995,0.08754,0.1054,0.79887,0.0088912,0.0088912,0.0088912
58,3598.39,0.14986,0.17341,0.89839,0.99111,1,0.995,0.99338,0.09871,0.12705,0.81283,0.0088714,0.0088714,0.0088714
59,3660.29,0.14754,0.17115,0.89795,0.99337,1,0.995,0.995,0.09896,0.12516,0.81515,0.0088516,0.0088516,0.0088516
60,3722.25,0.14842,0.17605,0.89869,0.99395,1,0.995,0.995,0.08993,0.12051,0.80478,0.0088318,0.0088318,0.0088318
61,3784.19,0.14611,0.17052,0.89798,0.99502,1,0.995,0.99494,0.09231,0.11894,0.80252,0.008812,0.008812,0.008812
62,3846.11,0.14797,0.17379,0.89811,0.99645,1,0.995,0.995,0.10239,0.12939,0.81305,0.0087922,0.0087922,0.0087922
63,3908.04,0.14681,0.17368,0.89697,0.99555,1,0.995,0.99434,0.08942,0.12213,0.80384,0.0087724,0.0087724,0.0087724
64,3969.97,0.14446,0.1703,0.89565,0.98934,1,0.995,0.99434,0.08001,0.14069,0.79511,0.0087526,0.0087526,0.0087526
65,4031.86,0.14401,0.16776,0.89662,0.99524,1,0.995,0.995,0.07457,0.1044,0.78885,0.0087328,0.0087328,0.0087328
66,4093.8,0.14328,0.16961,0.89386,0.9953,1,0.995,0.995,0.07921,0.10311,0.79139,0.008713,0.008713,0.008713
67,4155.75,0.14389,0.16796,0.89531,0.99204,1,0.995,0.995,0.07639,0.09971,0.7888,0.0086932,0.0086932,0.0086932
68,4217.79,0.14179,0.16683,0.89496,0.99655,1,0.995,0.995,0.07347,0.09547,0.78694,0.0086734,0.0086734,0.0086734
69,4279.75,0.14173,0.16678,0.89477,0.99712,1,0.995,0.995,0.07678,0.09053,0.79016,0.0086536,0.0086536,0.0086536
70,4341.79,0.14062,0.1642,0.8944,0.99772,1,0.995,0.995,0.0739,0.08871,0.78685,0.0086338,0.0086338,0.0086338
71,4403.69,0.13991,0.16316,0.8934,0.9975,1,0.995,0.995,0.07943,0.097,0.79146,0.008614,0.008614,0.008614
72,4465.61,0.13755,0.16209,0.89416,0.99564,1,0.995,0.995,0.0727,0.0922,0.78639,0.0085942,0.0085942,0.0085942
73,4527.56,0.13897,0.16383,0.89433,0.9967,1,0.995,0.995,0.07214,0.08697,0.78654,0.0085744,0.0085744,0.0085744
74,4589.49,0.14022,0.16343,0.89443,0.99709,1,0.995,0.995,0.07274,0.08819,0.78711,0.0085546,0.0085546,0.0085546
75,4651.41,0.13713,0.16306,0.89341,0.9977,1,0.995,0.995,0.07117,0.09176,0.78735,0.0085348,0.0085348,0.0085348
