epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.2143,0.71162,4.27436,1.32117,0.83208,0.74196,0.88624,0.86509,0.29574,1.11028,0.98041,0.070119,0.00332011,0.00332011
2,130.522,0.49592,1.4552,1.11917,0.83648,0.83817,0.95364,0.90696,0.36828,0.83672,1.05443,0.0400532,0.00658757,0.00658757
3,194.681,0.54021,1.18868,1.13457,0.51896,0.36082,0.36525,0.241,1.50126,3.48194,3.81836,0.00992131,0.00978903,0.00978903
4,257.923,0.56134,1.03765,1.13693,0.70888,0.35228,0.45396,0.38407,0.97752,3.17166,1.95414,0.009703,0.009703,0.009703
5,320.816,0.49413,0.74282,1.08854,0.93486,0.9558,0.99156,0.94763,0.3348,0.40361,1.01725,0.009604,0.009604,0.009604
6,384.96,0.44571,0.61083,1.05659,0.90212,0.80364,0.87591,0.81744,0.50888,0.7831,1.30485,0.009505,0.009505,0.009505
7,447.884,0.40351,0.51988,1.03205,0.88269,0.84149,0.93362,0.86367,0.45418,0.78644,1.1696,0.009406,0.009406,0.009406
8,510.783,0.37001,0.45163,1.01055,0.97435,0.97126,0.995,0.97434,0.25268,0.2436,0.91714,0.009307,0.009307,0.009307
9,573.76,0.34516,0.41939,0.99721,0.9518,0.98529,0.99421,0.97805,0.24528,0.2902,0.91737,0.009208,0.009208,0.009208
10,636.627,0.32325,0.38719,0.98357,0.98112,0.98401,0.995,0.98694,0.20285,0.23016,0.88302,0.009109,0.009109,0.009109
11,699.525,0.30818,0.35996,0.97855,0.96921,0.99574,0.995,0.96592,0.25498,0.27117,0.94956,0.00901,0.00901,0.00901
12,762.394,0.29557,0.33564,0.9697,0.96462,0.99402,0.995,0.98928,0.18029,0.19527,0.86492,0.008911,0.008911,0.008911
13,825.272,0.27978,0.31971,0.96058,0.96879,0.99604,0.995,0.98264,0.20235,0.19477,0.88124,0.008812,0.008812,0.008812
14,888.089,0.27042,0.30466,0.95689,0.98095,1,0.995,0.98814,0.18065,0.16974,0.86185,0.008713,0.008713,0.008713
15,950.942,0.26052,0.29717,0.95242,0.97995,0.9989,0.995,0.99402,0.17203,0.19395,0.848,0.008614,0.008614,0.008614
16,1013.85,0.24861,0.27929,0.94415,0.97842,1,0.995,0.9903,0.1674,0.1809,0.85311,0.008515,0.008515,0.008515
17,1076.75,0.24043,0.26921,0.9414,0.98243,0.99842,0.995,0.9915,0.15818,0.15509,0.84524,0.008416,0.008416,0.008416
18,1139.63,0.23043,0.25838,0.936,0.98553,1,0.995,0.99391,0.14693,0.15759,0.83763,0.008317,0.008317,0.008317
19,1202.86,0.22332,0.24725,0.93075,0.98779,0.99317,0.995,0.99032,0.16481,0.1662,0.85102,0.008218,0.008218,0.008218
20,1265.76,0.21641,0.24312,0.92814,0.98556,0.99884,0.995,0.9943,0.13113,0.15313,0.82509,0.008119,0.008119,0.008119
21,1328.61,0.21116,0.23604,0.92752,0.99038,1,0.995,0.9922,0.14725,0.15737,0.84104,0.00802,0.00802,0.00802
22,1391.48,0.20766,0.2302,0.92353,0.98989,0.99652,0.995,0.99333,0.13752,0.15048,0.83588,0.007921,0.007921,0.007921
